WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
clash	1	6	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .	20
learns	0	0	ARLINGTON , Va. -- Teacher Michael Coughlin sometimes learns about his students ' harrowing trips across the border alone and what they left behind from the essays they write .	8
microbial	1	4	Scientists worldwide are working to create databases of foodborne microbial strains , sequence the most common pathogens and tag foods for immediate traceability .	9
fatally	1	6	CHARLESTON , S.C. -- A grand jury affirmed the state of South Carolina 's murder charge on Monday against a white former North Charleston police officer who fatally shot an unarmed black man trying to run from a traffic stop .	27
searched	0	0	For three months , he holed up in the local library -- he did n't have a computer at home -- and searched out and applied for more than 70 college scholarships .	22
child	0	0	According to a report published Monday in the journal Pediatrics , diaper need -- the inability to afford to keep a child in clean diapers -- affects a `` substantial '' number of low-income Americans , with nearly 30 percent of mothers questioned in New Haven , Conn. , reporting that they did not have enough for their children .	21
wetlands	1	4	`` This state has lost more of its wetlands than all other states , and beavers can rebuild those wetlands , '' said Rick Lanman of the Institute for Historical Ecology in Los Altos .	8
square	0	0	The U.S. Fish and Wildlife Service is considering an environmental group 's request to set aside 110,000 square miles for grizzly bears in California , Arizona , New Mexico , Utah and Colorado .	17
defying	1	7	RIYADH -- - Saudi women 's rights activists posted online photographs and video clips of themselves defying a ban on female driving on Thursday , two days after members of the influential Shoura Council called for an end to the prohibition .	16
disconsolate	0	0	`` The highest rank in a democracy is citizen , not Senate president , so soon along with many of you , I will hold that rank and there 's nothing citizens ca n't accomplish when they put their minds to accomplishing it , '' Morse told disconsolate supporters at a party that turned into a political wake .	47
corals	0	0	Most coral reefs in temperate climates can withstand temperatures only as high as 29 degrees Celsius -LRB- 84 degrees Fahrenheit -RRB- before they bleach -- a process in which corals expel their symbiotic algae living in their tissue , causing them to turn white and increasing their vulnerability to disease and death .	29
microbe	1	6	Despite rising concerns about food safety and authenticity , contamination rates by salmonella , campylobacter , Escherichia coli and other common pathogens have not fallen or are actually on the increase , depending on the microbe , according to a 2013 report from the U.S. Centers for Disease Control and Prevention -LRB- CDC -RRB- .	35
language	0	0	Now a doctoral candidate in the University of Houston 's Language Arts program , she has spent much of her life thinking about the power and dangers of nuanced language .	29
housing	0	0	LOS ANGELES -- When Alisha Chen first got into real estate 10 years ago , she did n't really plan on becoming a gatekeeper for a global housing market .	27
entered	0	0	In all , at least 51,705 minors from Central America entered the United States illegally during fiscal year 2014 -- a 148 percent increase over fiscal year 2013 .	10
muddy	0	0	The humidity , heat and muddy soil made digging difficult .	5
battle	0	0	Oregon and Colorado on Nov. 4 will decide the fate of labeling laws for genetically modified organisms , or GMOs , the latest fronts in a battle over packaging .	26
everything	0	0	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	35
attended	1	7	`` I would n't miss this for the world , '' said Bailey , 45 , of Oak Park , Illinois , who has attended the event three years in a row .	24
courtesy	1	3	CASPER , Wyo. -- These are boom times in the resource-rich Cowboy State , courtesy of an oil explosion whose ripples can be felt across the land .	14
asteroid-linked	1	4	Jupiter may have even played a role in the asteroid-linked extinction of the dinosaurs about 66 million years ago , an event that ushered in the reign of our mammalian ancestors .	9
North	0	0	CORNUCOPIA , Wis. -- On some days , Kevin Hunt stands at his Star North gas station in this eye-blink of a town on mighty Lake Superior , marveling at Mother Nature and his own dumb luck .	14
whistling	1	5	PRIVAS , France -- Jean-Marie Chauvet noticed air whistling out from a crack on a plateau in southern France , so he and fellow cave enthusiasts went to investigate .	8
consumption	0	0	Participants were designated `` Western diet '' consumers if their consumption from non-fast-food sources was relatively high in saturated fats and added sugars .	10
democracy	0	0	`` The highest rank in a democracy is citizen , not Senate president , so soon along with many of you , I will hold that rank and there 's nothing citizens ca n't accomplish when they put their minds to accomplishing it , '' Morse told disconsolate supporters at a party that turned into a political wake .	6
parachute	1	7	In an emergency , the bracelet can be unraveled and the parachute cord used in a variety of ways -- to create a shelter or make a tourniquet , for example .	11
genetically	1	8	Oregon and Colorado on Nov. 4 will decide the fate of labeling laws for genetically modified organisms , or GMOs , the latest fronts in a battle over packaging .	14
anti-terrorist	1	3	It was widely reported all 10 had been convicted by an anti-terrorist court in Malala 's native Swat and sentenced to life imprisonment or 25 years .	11
grooms	1	3	For the people on the Solomon Islands , it 's long been about the teeth : Necklaces made of dolphin teeth are `` bride prizes , '' given by grooms to their betrothed .	29
rash	1	4	Marine mammal care centers are preparing for a rash of strandings .	8
unlikely	0	0	Copeland , 32 , has become one of America 's most famous female athletes , revered for her unlikely ascendance in an arts world notorious for showcasing only lithe white ballerinas .	18
emptier	1	3	The ocean , which in years past had been full with food , was different , emptier , than before .	16
geologist	1	4	CHICAGO -- Geologist Erin Argyilan has in the last 10 months studied sediment , analyzed wind patterns and mapped terrain , but she has n't solved the mystery of the holes that appear and vanish in the beige sands of Mount Baldy at Indiana Dunes National Lakeshore .	2
network	0	0	But after a trial run in New Zealand earlier this year , DeVaul and other engineers on the project say they believe a global network of low-cost , high-altitude balloons could carry enough wireless transponders to beam Internet connections to remote parts of Africa , Asia and other developing regions .	24
timetable	1	4	Holder also said his office is examining all available evidence before deciding whether to pursue charges against neighborhood watchman Zimmerman in the shooting death of the black teen -- though he gave no indication of the timetable involved .	36
strikes	0	0	In a speech that takes stock of America 's long battle with al-Qaida , the president said he would continue ordering lethal drone strikes to stop potential terror attacks because the relative precision of drone warfare is preferable to major troop deployments or traditional bombing .	23
endangering	1	8	They 're endangering shorebirds , threatening city taps and quite possibly raising the crime rate .	2
Girls	0	0	`` It 's like they had to make a mental readjustment , '' said Brumfield , founder of the non-profit Girls Rule !	20
stripped	1	6	The Patriots also were fined $ 1 million -- equaling the largest in league history -- and stripped of their first-round draft pick next year and a fourth-round selection in 2017 .	17
professors	1	4	He 's found them in difficult online courses offered by professors at Stanford University and Massachusetts Institute of Technology .	10
spontaneous	0	0	No one seemed sure what would happen next -- in part because the movement has become diffuse and spontaneous , attracting a wide cross section of participants .	18
electives	1	3	As an alternative to the classes at her school in Diyarbakir , in southeast Turkey , she would have to choose from three electives : the life of the Prophet Muhammad , the Quran or basic religious knowledge -- or fail the year .	23
poor	0	0	NEW YORK -- They speak different languages , live in countries rich and poor , face horrible job markets and healthy ones .	13
coins	0	0	Too often , the FTC said , parents were caught unaware that in-app purchases were being made and Apple did n't do enough to make it clear children were buying gems , coins , or treats for their virtual pets .	32
embody	1	7	And a generation of young people who grew up after the mass killings embody the hope of a new breed of Rwandans who identify not by ethnicity but by nationhood .	13
snacks	0	0	CHICAGO -- There 's only one thing that comes between the grade school kids hopping off the afternoon bus near Eve Pulver-Johnson 's Aurora , Ill. , house and their after-school snacks -- the Little Free Library on her family 's front lawn .	31
restrictions	1	7	Last fall , China 's State Council proposed the nation 's toughest restrictions yet on indoor smoking and the marketing of tobacco .	12
worlds	0	0	Where this and the other rocky planets now orbit there may have first been a previous generation of worlds destined to be bigger , gas-shrouded , utterly uninhabitable orbs .	18
exceed	0	0	`` These temperatures exceed what we are expecting anywhere else in the world in the tropics over the next century , '' says John Burt , a marine biologist at a branch of New York University in the Emirates , who led the reef tour in 2012 .	3
acknowledged	1	8	Sterling acknowledged he was the man on the tape , Silver said .	1
e-athletes	1	3	A sold-out crowd from around the nation is screaming for the elite e-athletes and thumping inflated cheer sticks in a collective thunder .	12
formation	1	3	Eons ago , while flinging leftover debris from planetary formation out of our solar system , Jupiter probably also tossed some down toward our primordial globe , delivering some of the water that now fills our oceans .	9
course	0	0	And in a personal-finance course , 16 - and 17-year-olds are learning about something that might seem even more abstract for the teenagers : retirement .	4
elections	0	0	A youth movement , known as Rebel , has collected more than 22 million signatures on petitions calling for Morsi to step aside for early elections .	25
gatekeeper	1	7	LOS ANGELES -- When Alisha Chen first got into real estate 10 years ago , she did n't really plan on becoming a gatekeeper for a global housing market .	23
assist	1	3	Nowhere was this more painfully obvious than in Japan four years ago , after a small squadron of robots was sent to assist workers at the devastated Fukushima Daiichi nuclear plant .	22
climb	0	0	Such large-scale whale rescues are likely to become more common as the population of humpbacks and other whales continues to climb along the California coast , after being suppressed by centuries of whaling .	20
reputation	1	7	Despite warnings that the demonstrations could cause serious damage to Hong Kong 's economy and reputation as a stable Asian financial hub , the city 's stock exchange seemed to take the day 's activities in stride , falling less than 2 percent .	15
Northern	0	0	Northern gannets , a North Atlantic species , have been spotted off the coast of California several times in recent years , for instance , while several Pacific species of auks , a type of diving bird , have recently been observed in the Atlantic .	0
midsummer	1	7	Ice was part of Aja Evans ' midsummer day 's dream too .	7
supernova	1	6	`` Probably the only other place where they might exist in a short period of time could be a supernova , where you have so much energy and so many particles that are really heavily concentrated , '' said Dawn Shaughnessy , the principal investigator for the Heavy Element Group at Lawrence Livermore National Laboratory , which had a hand in three of the discoveries .	19
humidity	1	3	Experts even recreated stalactites and stalagmites from the original site , as well as the cool temperatures and thick smell of humidity .	21
wrap	0	0	They do so even as some marine biologists and ocean advocates warn that such a compassion-laden response is little more than a futile attempt to wrap a Band-Aid on an oceanwide problem that could last decades and may have been worsened by overfishing .	25
connection	1	7	CHICAGO -- The first three times they were together , Nicole Giambalvo was n't sure she 'd be able to make a connection with Kathryn Dungan .	22
covered	0	0	What they found that Sunday in 1994 still fills Chauvet 's voice with wonder : an immense cave covered with prehistoric paintings of horses , mammoths and rhinos -- paintings so vivid , he says , it felt like the Stone Age artists had just moments ago put down their ochre and walked away .	18
Scientists	0	0	Scientists never observe these elements directly .	0
orbiting	1	5	As the largest , heaviest object orbiting our sun , Jupiter 's namesake world is the lord of planets , a dominant force in the solar system .	6
crop	0	0	A year with a dry winter can devastate crop output and put an onerous dent in a farmer 's wallet .	8
citizen	0	0	`` The highest rank in a democracy is citizen , not Senate president , so soon along with many of you , I will hold that rank and there 's nothing citizens ca n't accomplish when they put their minds to accomplishing it , '' Morse told disconsolate supporters at a party that turned into a political wake .	8
aberration	1	8	It might seem like a culinary aberration , but it is n't .	6
envisioned	1	9	DALLAS -- Growing up in a North Dallas neighborhood plagued by drugs and gangs , Jordan Henderson envisioned just two options for his future : end up in jail -- or the graveyard .	17
insecurity	1	8	The chaotic scene underscored the fearful insecurity of displaced Iraqis as they begin Ramadan in a nation gripped by unrest and bitterly divided along sectarian lines .	6
added	0	0	`` I was raised on how to sell myself , which buttons to press , which phrases to drop , '' she added , until one day `` everything just shattered . ''	22
discovery	1	8	MANSFIELD , Texas -- Not every kid can say he made the discovery of a lifetime before he started kindergarten .	12
sardines	1	3	But in early 2015 , calorie-dense sardines and anchovies -- the best food -- were hard to find .	6
existing	0	0	But others perceive the courses as a dangerous fad that will shrink faculties , turn existing professors into glorified teaching assistants and replace meaningful classroom discussion with message boards and student-led forums .	15
accounted	1	6	&lt;img class="pull-right" src="https://newsela-test-files-f331e.s3.amazonaws.com/article_media/extra/20131230_CENSUS_maps.jpg" /&gt; WASHINGTON -- Population growth in Southern and Western states , led by Texas , California and Florida , accounted for more than 80 percent of new residents nationwide over the last three years , surpassing the Northeast and Midwest in the demographic contest that plays a key role in determining states ' political clout , census data released Monday show .	19
suspected	1	3	In a March report in Geophysical Research Letters , scientists at the U.S. Naval Research Laboratory -LRB- NRL -RRB- describe how large waves can penetrate more deeply into ice cover and break it up faster and more completely than anyone had suspected .	41
testimony	1	8	`` The jury will make up its own mind after it sees the video and hears the other testimony , '' Wilson said .	18
home	0	0	There are many similar designs for sale on the Internet , but Grayson 's products , which he currently makes himself at his home , hide some unique and potentially lifesaving items .	23
buy	0	0	He left only once , to buy food .	6
rehabilitate	1	9	She said the money will help build more than a dozen schools , rehabilitate hundreds of facilities and provide training and scholarships to help Pakistani girls `` fulfill their promise '' to become the next generation of doctors , teachers and entrepreneurs .	13
telescope	1	3	How about a Lottie astronomer doll complete with a telescope , tripod and fact sheet about notable women stargazers , or a fossil hunter armed with a magnifying glass , geology hammer and ammonite fossils ?	9
commission	1	6	`` You can not charge consumers for purchases they did not authorize , '' said Edith Ramirez , the commission chairwoman .	19
concentrated	1	7	`` Probably the only other place where they might exist in a short period of time could be a supernova , where you have so much energy and so many particles that are really heavily concentrated , '' said Dawn Shaughnessy , the principal investigator for the Heavy Element Group at Lawrence Livermore National Laboratory , which had a hand in three of the discoveries .	35
fans	0	0	In the balconies , `` gamescasters '' in dark suits and bright ties are breathlessly narrating and analyzing the plays to tens of thousands of fans who are watching via a live video stream .	25
scholarships	1	6	She said the money will help build more than a dozen schools , rehabilitate hundreds of facilities and provide training and scholarships to help Pakistani girls `` fulfill their promise '' to become the next generation of doctors , teachers and entrepreneurs .	21
violated	1	7	Experts also are worried about the potentially deadly consequences of unsecured systems being violated accidentally .	13
veterans	0	0	Along with thousands of other former members of the military , they 're part of an effort to bolster America 's teaching corps with worldly veterans whose leadership skills and life experiences could be valuable in the classroom .	25
hillsides	0	0	JOHANNESBURG , South Africa -- In scattered villages on steep green hillsides , many who killed their neighbors in Rwanda 's genocide 20 years ago now live side by side with relatives of the dead .	11
rather	0	0	Greek Finance Minister Yanis Varoufakis claims debt relief is the key issue that held up a deal with creditors last week and says he 'd rather cut off his arm than sign anything that does n't tackle the country 's borrowings .	25
five-time	0	0	## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision .	25
gathered	1	5	Bailey and his daughter were among dozens of father-daughter couples gathered on Chicago 's South Side recently at a party designed to spotlight the role of black fathers in their daughter 's lives .	10
state	0	0	The states could become the first to pass such a referendum ; Washington state and California rejected similar measures after expensive campaigns in 2013 and 2012 , respectively .	13
fear	0	0	Miscommunication , confusion and fear have long been the common threads as the problem grew to what some officials consider crisis-level proportions .	4
kidney	0	0	Three weeks after receiving a kidney transplant from his brother , a former Ravens ' player , Chris Kemoeatu has heard all of the wisecracks .	5
stick	0	0	`` When nobody was looking I 'd stick my arm in up to my elbow and then lick off the chocolate . ''	7
rebuttals	1	7	Saeed Naeem , the public prosecutor for Malala 's native Swat region , said he had n't corrected the misreporting because `` it is not our duty to issue rebuttals to the press , nor are we authorized to do so . ''	29
bathroom	0	0	With the bathroom formalities out of the way , Evans , 25 , went into the gym to begin a workout with her EFT trainer , Jacob Ross .	2
voice	0	0	What they found that Sunday in 1994 still fills Chauvet 's voice with wonder : an immense cave covered with prehistoric paintings of horses , mammoths and rhinos -- paintings so vivid , he says , it felt like the Stone Age artists had just moments ago put down their ochre and walked away .	11
arrives	0	0	From an astronomical observatory on Chews Ridge in the Santa Lucia Mountains , the University of California , Davis atmospheric scientist has for the last three years measured ozone , the lung-damaging gas in smog , as it arrives to California .	38
beef	1	3	And Home Depot is n't the only business that 's looking to beef up its staff , and find innovative ways beyond job fairs , to connect with veterans .	12
unrealistic	1	9	CHICAGO -- For years a general complaint about dolls has been that they send the wrong messages to children , whether it 's promoting an unrealistic body image or reinforcing stereotypes about girly interests .	25
monotonously	0	0	But if monotonously sunny weather continues to curse the state , the pain of water shortages will spread , albeit unevenly .	2
ousted	1	7	COLORADO SPRINGS , Colo. -- In an unprecedented backlash , two state lawmakers who helped stiffen Colorado 's gun laws were ousted Tuesday in a recall that turned into a nationally watched referendum on gun control .	21
preordering	1	9	Disney World recently started allowing online preordering for its Be Our Guest restaurant , and this month it tested smartphone ordering at the Backlot Express restaurant and during the Fantasmic !	6
management	1	3	For golfers , it 's an uncontrollable spasm that occurs in the hands right before impact , says Dr. Debbie Crews , a sports psychology consultant for the Arizona State University women 's golf team and a faculty research assistant in the professional golf management program .	44
offstage	0	0	And her star power has stretched far beyond dance , yielding larger and larger business opportunities offstage as her pre-eminence onstage has grown .	16
accumulating	1	8	`` Over the last several days , we 've seen recent and accumulating reports raising questions about the performance of the agency , and the president concluded that new leadership of that agency was required , '' said Josh Earnest , the White House spokesman .	12
contending	1	4	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .	10
destructive	1	8	Another referred to an attack that `` will be more destructive than ever before , '' and warned immigrants to stay indoors .	10
Sprouts	0	0	The scientists were initially skeptical about what they would find on the construction site near the new Sprouts Farmers Market less than 100 yards from busy Matlock Road .	17
implications	0	0	The illicit industry also has significant national security implications .	8
fever	0	0	The city of 8.3 million people got its first test last week when a doctor who had been treating Ebola patients in the West African nation of Guinea tested positive for the virus after returning to New York and coming down with a fever of 100.3 .	43
dad	0	0	A Silicon Valley tech professional , dad Neil Banerjee told his son to `` Google it . ''	6
prosecutor	1	6	Saeed Naeem , the public prosecutor for Malala 's native Swat region , said he had n't corrected the misreporting because `` it is not our duty to issue rebuttals to the press , nor are we authorized to do so . ''	5
featured	0	0	She has authored a best-selling memoir , was featured this year on the cover of Time magazine 's `` 100 Most Influential People , '' and has starred in a viral Under Armour ad , twirling amid the reading of a rejection letter declaring she has `` the wrong body for ballet . ''	8
languages	0	0	NEW YORK -- They speak different languages , live in countries rich and poor , face horrible job markets and healthy ones .	6
commercial	1	8	`` Big Hero 6 '' has been a critical and commercial hit for Walt Disney Animation Studios , winning an Oscar and taking in more than $ 500 million at the box office .	10
holiday	0	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al-Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .	17
pack	0	0	Every year Aleksey Marchenko of The University Center in Svalbard , a Norwegian archipelago north of Scandinavia , leads students across the chilly waters of the Barents Sea to study the seasonal ice pack .	33
Cookie	0	0	The Digital Cookie upgrade , announced Tuesday , comes amid persisting challenges for the 103-year-old organization .	2
provide	0	0	`` Boeing is preparing to provide technical assistance to the National Transportation Safety Board as it investigates the accident , '' the statement said .	5
lab	0	0	`` We can re-create the Martians in a P-4 spacesuit lab , if necessary , '' the 67-year-old says matter-of-factly as he relaxes with his poodle , Darwin , in a luxury camper .	10
change	0	0	The expanding range of Naegleria infections could potentially be related to climate change , she adds , as the organism thrives in warmer temperatures .	12
main	0	0	BUDAPEST , Hungary -- Hundreds of migrants chanted defiant slogans outside Budapest 's main international train station Wednesday as Hungarian police blocked them for a second day from seeking asylum in Germany and other wealthy European Union countries .	13
wreckage	1	5	`` The appearance of at least some wreckage takes it out of the realm of ` vanished without a trace , cue the music , ' with ` OK , sure , it did go down in the ocean , ' '' said Ric Gillespie , a former U.S. aviation accident investigator who wrote a book about Earhart 's still-unsolved 1937 disappearance over the Pacific Ocean .	7
break	0	0	ANCHORAGE , Alaska -- Many middle school students in south-central Alaska spent spring break playing video games , skiing in what little snow has fallen or just enjoying a lazy week away from school .	13
squarely	1	4	The president 's address to lawmakers and a prime-time television audience was meant to both shape his legacy and put his imprint squarely on the race to succeed him .	22
unusually	1	6	WASHINGTON -- The American public is unusually pessimistic about the direction of the country and increasingly fed up with Washington gridlock , a sour mood reflected in the worst disapproval ratings for President Barack Obama since he took office nearly five years ago .	6
insulin	1	6	WASHINGTON -- Chris Carroll wo n't forget the first time he saw someone hack into an insulin pump and make it deliver a lethal dose .	16
long-range	0	0	More than 1,100 of the planes have been delivered , and nearly all of the world 's most important airlines fly 777s on long-range routes .	23
inspections	1	4	A re-entry ticket involved painstaking inspections , with parents required to prove that not a single hitchhiker resided on a child 's head .	5
ended	0	0	CAIRO -- A night of largely peaceful protests ended early Monday in a bloody clash between Muslim Brotherhood supporters and Egyptian soldiers , according to the Brotherhood and Egyptian media .	8
younger	0	0	The acuity of mental illness among students has sharpened , they say , and it 's striking ever younger children , though many quietly bear the stress for years before snapping .	18
Awards	0	0	`` Glory '' won best original song at the Academy Awards on Sunday .	10
lower-income	1	3	The study also found the reading skills gap between children from lower-income and higher-income families has grown , and proficiency varies considerably across states .	11
protest	1	4	In late April , the then-26-year-old shot his Fuji X-T1 over and over again as demonstrators took to the streets to protest the death of Freddie Gray , who suffered a fatal injury in police custody .	21
deaths	0	0	While illicit border crossings in this southern Arizona corridor have plummeted , deaths are at an all-time high .	12
two-step	1	4	He pulled her close , placed a hand on her shoulder , and the two bopped back and forth in a two-step , laughing and giggling .	21
devastate	1	9	A year with a dry winter can devastate crop output and put an onerous dent in a farmer 's wallet .	7
backing	0	0	The Humane Society supports the coalition backing the initiative , which is led by a group called Mainers for Fair Bear Hunting .	6
Proceedings	0	0	The study , co-authored by California Institute of Technology planetary scientist Konstantin Batygin and University of California , Santa Cruz , astrophysicist Greg Laughlin , appeared in the March 23 Proceedings of the National Academy of Sciences .	30
surprising	1	4	Researchers at Stanford University recently set out to explore the neural basis of creativity and came up with surprising findings .	18
perceive	1	5	It is part of what Iraqi officials describe as a new `` brain drain '' as young graduates seize what they perceive as a rare opportunity to leave a country wracked by violence .	21
pulled	0	0	An Associated Press analysis of households in the 10 biggest economies shows that families continue to spend cautiously and have pulled hundreds of billions of dollars out of stocks , cut borrowing for the first time in decades and poured money into savings and bonds that offer puny interest payments , often too low to keep up with inflation .	20
governments	0	0	Non-governmental organizations , nursing homes and provincial governments increasingly are picking up the slack , said Robert Stowe England , an expert on population aging who 's the author of the 2005 book `` Aging China . ''	7
around	0	0	Violence broke out in more than 10 cities late Thursday and early Friday , and an 18-year-old man was killed and three people injured when they were hit by a car trying to drive around a protester-erected barricade in Ribeirao Preto , 185 miles north of Sao Paolo .	34
background	1	3	The laws limit gun magazines to 15 rounds and require universal background checks , to be paid for by the gun purchaser , among other restrictions .	11
trust	0	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S.-China relations must hinge on trust and a positive notion of each other 's motives .	21
laws	0	0	Oregon and Colorado on Nov. 4 will decide the fate of labeling laws for genetically modified organisms , or GMOs , the latest fronts in a battle over packaging .	12
wiped	0	0	And they once populated most of California until fur traders nearly wiped them out in the 19th century .	11
fast	0	0	Even as the children 's `` Bring Rodrigo Home '' campaign built momentum , it became clear that things would not move fast .	22
begin	0	0	CHICAGO -- Chicago Mayor Rahm Emanuel took the oath of office to begin his second term Monday and took the unusual step of focusing his inaugural address on a single issue : The lack of opportunity facing the city 's disadvantaged youths .	12
fastest-growing	1	3	As Latino outreach director , Praeli spends her days at Clinton 's headquarters in Brooklyn poring over polling data , winning endorsements from Latino leaders and fine-tuning the campaign 's messages to reach the nation 's fastest-growing bloc of voters .	36
fairness	0	0	As the gap between the world 's top 1 percent and the rest has increased to historic highs in recent years , fairness in material payoffs or inequality has become one of the most important issues of our time .	22
Mother	0	0	CORNUCOPIA , Wis. -- On some days , Kevin Hunt stands at his Star North gas station in this eye-blink of a town on mighty Lake Superior , marveling at Mother Nature and his own dumb luck .	30
attire	1	3	The panel also found problematic a uniform exemption for students who wore the attire of national youth organizations like the Boy Scouts or Girl Scouts on meeting days .	13
glass	0	0	How about a Lottie astronomer doll complete with a telescope , tripod and fact sheet about notable women stargazers , or a fossil hunter armed with a magnifying glass , geology hammer and ammonite fossils ?	28
officer	0	0	Such cameras might have provided more information in the deadly August shooting of an unarmed black 18-year-old by a white police officer in Ferguson .	21
glancing	0	0	In the months after the outrage stirred by the deaths of Brown and another unarmed African-American , Eric Garner , in New York , singer D'Angelo released his first album in more than a decade , `` Black Messiah , '' which included references both glancing and startlingly direct to the chain of events between Selma and Ferguson .	45
decided	0	0	Shop owner Mary Ginocchio said she decided to show Jason Borders ' work after Lexington artist Bob Morgan suggested it .	6
facility	1	3	Since Boeing rolled out its first 777 to a huge crowd at its manufacturing facility in Everett , Wash. , in 1994 , more than 1,100 have been built and only one had been in a major accident , with no fatalities .	14
anthropologists	1	9	In an effort to understand how much of this concept is hard-wired into our biology and how much of it is cultural , a team of psychologists and anthropologists led by Harvard University professor Felix Warneken traveled to seven countries to study how different groups of children play fair .	28
desperate	1	9	While she wanted to help , her husband worried they may be arrested or lose their land if they gave aid to the dozens of travelers , many of them desperate and dehydrated , and some nearly crippled by enormous blisters on the bottoms of their feet .	30
downturns	1	6	Business owners warn it will tie their hands in downturns , drive small employers out of business and lead to millions of layoffs .	9
chosen	0	0	But the number is probably higher since many people were `` staying with families and friends and had chosen not to register with the authorities , '' the agency said .	18
pylons	1	7	Already perceived as ugly and saddled with being a symbol of death and decay in many cultures , their numbers are dropping because of poaching , poisonings and collisions with electricity pylons and wind turbines .	31
combine	1	3	`` And I never before heard Dr. King combine all those genres into one particular moment . ''	8
makings	0	0	Scientists launched the mission to better study the makings of comets , which they believe date back to the earliest days of the solar system , in hopes of learning more about their history .	8
seats	0	0	Surveys show that uncomfortable seats and shrinking legroom have become the top gripes of travelers , surpassing ticket prices and security lines .	4
shape	0	0	A Peruvian immigrant who lived in the United States without legal status until three years ago , when she obtained a green card through marriage , Praeli hopes to obtain citizenship in time to vote in the election that she is helping shape .	42
appearances	0	0	The free fan village will feature concerts , interactive games and player appearances at the foot of Market Street across from the Ferry Building , and will be among the main images broadcast of San Francisco .	12
authorized	1	8	Saeed Naeem , the public prosecutor for Malala 's native Swat region , said he had n't corrected the misreporting because `` it is not our duty to issue rebuttals to the press , nor are we authorized to do so . ''	37
