WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
environments	1	5	ST. LOUIS -- High school agriculture programs sprouting across the nation 's Corn Belt are teaching teenagers , many of them in urban environments , that careers in the field often have nothing to do with cows and plows .	23
agricultural	1	8	In a section titled `` Patterns of Immigration , '' a speech bubble pointing to the continent of Africa read : `` The Atlantic Slave Trade between the 1500s and 1800s brought millions of workers from Africa to the southern United States to work on agricultural plantations . ''	45
104th	0	0	He told NAACP members attending the group 's 104th annual convention to peacefully confront `` the unfortunate stereotypes '' that sometimes lead to police suspicion and private misjudgment .	8
factions	1	7	They are sitting on ergonomic swivel chairs in front of computer screens and tapping away at keyboards and mouses as they try to kill rival factions on the military sci-fi strategy game StarCraft .	25
repertoire	1	8	Taking on the challenge , a team of software and biomedical engineers , neuroscientists , surgeons and prosthetists has designed a prosthetic limb that can reproduce a full repertoire of ambulatory tricks by communicating seamlessly with Vawter 's brain .	28
audiotapes	1	4	He said a league investigation found that the league 's longest-tenured owner was in fact the person on the audiotapes that were released over the weekend .	19
photo-identification	1	3	Attorney General Eric Holder said the North Carolina law imposes several `` troubling new restrictions '' on voters including reducing early voting days , eliminating same-day registration during the early-voting period and imposing a restrictive photo-identification requirement for in-person voting .	35
flags	0	0	They also showed images of more than a dozen bodies lying under sheets and Egyptian flags .	15
held	0	0	No mention of the procedure at an event in Lavallette , New Jersey , two days after the surgery or at any of the other meetings Christie held that week .	27
discover	0	0	As more people realize they can grow a significant amount of vegetables on a small parcel of land , they discover that `` they have the ability to take back their food system . ''	20
certain	0	0	They 're arguing that as sea ice continues to melt in the Arctic , passageways are opening for certain animals - heretofore restricted by the ice - to start moving through , enabling them to cross into new territories .	18
hardy	1	5	Months ago , many warned him not to invest in a place where fair-weather tourists flee in the fall and the big lake 's waters turn cold and storm-tossed , forcing the 100 or so hardy full-time residents of Cornucopia to hibernate for the winter .	35
deck	1	4	Hunting is supposed to give the animals a chance , and this stacks the deck so badly . ''	14
outfield	1	4	They hold hands as Giambalvo leads Dungan to first base after her hit goes airborne , and they giggle together in the outfield while waiting to make a catch .	22
lines	0	0	Marching alongside the protesters , Allen snapped portrait after portrait that offered a view from the front lines in the days after Gray 's death .	17
youngest	0	0	And on Tuesday , Intel Capital , the company 's global investment arm , will announce it has invested in the teenager 's company , making Shubham the world 's youngest tech entrepreneur to receive venture capital funding .	30
projected	1	7	An increase in Asian and Hispanic immigration also will drive U.S. population growth , with foreign-born residents expected to make up 18 percent of the country 's projected 441 million people in 50 years , the Pew Research Center said in a report being released Monday .	27
orbiter	1	3	Philae separated from the Rosetta orbiter at 3:35 a.m. EST Wednesday , after a decade of being attached to the spacecraft .	5
Teachers	0	0	Troops to Teachers , a nearly 20-year-old Pentagon program , has produced more than 15,000 teachers , largely for high-need schools .	2
in-school	0	0	Over the years , how teachers resolved potentially dangerous disruptions -- a child throwing objects , for example -- has changed from a ruler to the knuckles , to in-school suspension , to expelling a student altogether .	29
fantasizing	1	8	That 's when she first began fantasizing about piloting airplanes .	6
sporting	0	0	And as the number of `` buddy '' or `` inclusion companion '' sporting opportunities continues to proliferate across the country , advocates for children with special needs say young people today are growing up with a better understanding and openness toward people with disabilities than the generations before them .	13
helped	0	0	Crews has helped Castro and others treat the yips .	2
higher	0	0	This will be a record , higher than the nearly 15 percent during the late 19th century and early 20th century wave of immigration from Europe .	6
Armour	0	0	She has authored a best-selling memoir , was featured this year on the cover of Time magazine 's `` 100 Most Influential People , '' and has starred in a viral Under Armour ad , twirling amid the reading of a rejection letter declaring she has `` the wrong body for ballet . ''	32
observatory	1	5	From an astronomical observatory on Chews Ridge in the Santa Lucia Mountains , the University of California , Davis atmospheric scientist has for the last three years measured ozone , the lung-damaging gas in smog , as it arrives to California .	3
journal	0	0	The findings , described in the journal Science Advances , reveals another complexity of the effects of climate change -- both the effects it has on animal populations and the way it affects human disease , in the context of socioeconomic disparities .	6
transit	1	5	But she pledged to create `` a grand pact '' to improve public services and said among her priorities would be to devote 100 percent of petroleum revenue to education , send thousands of doctors to rural areas , come up with a national urban transit plan , and meet with peaceful protest leaders .	45
hair	0	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .	14
pull	0	0	A few superstar professors pull in upward of 10,000 students around the globe into free , or nearly free , courses .	4
near-exact	0	0	Since most modern humans will never get to see the masterpieces in what is widely known as the Chauvet Cave , scientists , artists and the French government have spent 56 million euros -LRB- about $ 60 million -RRB- and several years creating the next best thing : a near-exact replica of the cave about 2 kilometers -LRB- 1.2 miles -RRB- away , including more than 400 paintings of horses , bears , rhinoceros and mammoths , handprints and carvings .	49
shyly	1	5	Two girls in silky abaya gowns rush to embrace her , their mother standing back shyly .	15
please	0	0	One message read : `` Wednesday , Zulu people are coming to town starting from Market -LRB- Street -RRB- their mission is to kill every foreigner on the road please pass this to all your contacts in case they come people should be on alert . ''	29
hoped	0	0	There was early evidence that Ryan might be the unifying force most Republicans hoped he would be .	13
string	0	0	WASHINGTON -- The beleaguered director of the Secret Service resigned Wednesday after President Barack Obama lost confidence in her ability to lead the troubled agency amid a string of high-profile security lapses .	27
hearings	0	0	If the agency decides to proceed with reintroducing grizzlies , the next step will be a lengthy process that includes scientific reviews and public hearings that could take years .	24
Flying	0	0	`` Flying makes you feel big , '' Berry said .	1
chicken	0	0	Shouting men scrambled Sunday to reach pots of rice , meat and chicken stew in this dusty , hot encampment some 60 miles -LRB- 100 kilometers -RRB- from the northern city of Irbil , the capital of Iraq 's self-ruled Kurdish region .	12
suffer	0	0	After all , snakebites affect 2.5 million people around the world annually , and 400,000 of those people suffer serious medical consequences -LRB- such as nerve damage or amputations -RRB- and 85,000 of them will die .	18
RIVERS	0	0	THREE RIVERS , Calif. -- Black bears are a cherished part of the community here , a woodsy gateway town that funnels tourists to Sequoia and Kings Canyon national parks , where the first question many visitors ask of rangers is `` Where can I see a bear ? ''	1
engineered	1	8	Measure 92 in Oregon and Proposition 105 in Colorado call for labeling food so that purchasers know whether they are buying products that contain materials that have been genetically engineered or modified .	29
planets	0	0	As the largest , heaviest object orbiting our sun , Jupiter 's namesake world is the lord of planets , a dominant force in the solar system .	18
takes	0	0	`` It does n't take very much to destroy confidence , but it takes an awful lot to build it back , '' says Ian Bright , senior economist at ING , a global bank based in Amsterdam .	13
troubling	1	6	`` There has been an increased commercialization of the teeth , and that 's a little troubling , '' said study coauthor Scott Baker , associate director of the Marine Mammal Institute at Oregon State University .	16
method	0	0	At 22 , Mohamed is a newly minted cop on the beat , a community liaison officer making a courtesy call to a local merchant -- a time-tested neighborhood policing method .	30
mom	0	0	LOS ANGELES -- There have been days since her son Ezekiel was born 11 months ago that Los Angeles mom Beth Capper has gone without food to keep up her supply .	19
attack	0	0	On Friday , a second person died of a heart attack as a tear-gas canister exploded near her , according to Brazilian news agencies .	10
monetary	1	4	The job requires being part cultural ambassador , part shrewd property scout , part monetary policy wonk .	14
attorney	1	3	Other times , they 'll mention a court date or ask for help finding an immigration attorney .	16
congressional	1	7	If states continue to grow at the same pace for the rest of the decade , Texas could gain three more congressional seats in 2020 , according to a Los Angeles Times analysis of the Census Bureau figures .	21
well	0	0	Experts even recreated stalactites and stalagmites from the original site , as well as the cool temperatures and thick smell of humidity .	12
semi-autonomous	1	8	Extending their protests into the workweek , Hong Kong democracy activists continued occupying major thoroughfares Monday , forcing the closure of some schools , banks and other businesses in the semi-autonomous Chinese territory .	30
Bermuda	0	0	Less Bermuda Triangle or Amelia Earhart ; more Air France 447 , which crashed into the Atlantic in 2009 but confounded investigators for nearly two years until its black boxes were found .	1
segregationist	1	9	The men 's refusal to pay bail money into the segregationist town 's city coffers served as a catalyst for other civil disobedience .	10
interagency	1	3	The firefighters belonged to the Granite Mountain Interagency Hotshot Crew , an elite unit sponsored by a fire department in nearby Prescott , where residents were grieving through social media after word of the deaths arrived Sunday night .	7
demands	0	0	-LSB- -RSB- -LRB- https://newsela-test-files-f331e.s3.amazonaws.com/article_media/extra/20140602_Europe_royals.jpg -RRB- MADRID -- Spain 's King Juan Carlos I told his compatriots Monday he had opted to abdicate to his son Felipe , arguing that `` a new generation demands , with justice , the leading role . ''	33
possible	0	0	But the more important number may be the 39,000 hours Disney Animation spent developing the computer program that made the movie possible .	21
genetic	1	6	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	44
re-entry	0	0	A re-entry ticket involved painstaking inspections , with parents required to prove that not a single hitchhiker resided on a child 's head .	1
unexplored	1	3	It represents about 58 percent of our planet 's oceans and is mostly unexplored , exhaustively exploited and in rapid decline .	13
rid	0	0	`` It gets rid of those little small hits you get in practice that kind of turn your eyes green a little bit , '' said defensive end Nick Spracklen , 20 .	3
set	0	0	The Mighty Makers line from K'nex , for example , includes a construction set in which two small female dolls get to build their dream house from the ground up .	13
blown	0	0	Farther inside the pack there are kilometers-wide chunks that have been blown together into a nearly solid mass .	11
beds	0	0	When they see their beds , they think of those trapped on a mountaintop who must sleep on nothing but rocks .	4
performed	1	4	The court did not decide whether states that do not have same-sex marriage will have to recognize marriages performed in other states .	18
waited	0	0	`` We do n't have any Internet at home , '' Morua said as her oldest , 11-year-old Abel , clicked through an assignment on a library laptop while Alina , 9 , waited for her turn at a desktop .	33
temperate	1	4	Most coral reefs in temperate climates can withstand temperatures only as high as 29 degrees Celsius -LRB- 84 degrees Fahrenheit -RRB- before they bleach -- a process in which corals expel their symbiotic algae living in their tissue , causing them to turn white and increasing their vulnerability to disease and death .	4
devices	0	0	Ma and his colleagues at the Institute of Public and Environmental Affairs , a Beijing-based environmental group , have made that information available to millions of Chinese on their own computers and mobile devices .	33
studies	0	0	They point to numerous studies -LRB- except those commissioned by the film industry -RRB- which show that states never recoup the tax revenue they give away with the credits .	4
boats	0	0	From the Dominican Republic in the north , to Barbados in the east , and Mexico 's Caribbean resorts to the west , officials are authorizing emergency money to fund cleanup efforts and clear stinking mounds of seaweed that in some cases have piled up nearly 10 feet high on beaches , choked scenic coves and cut off moored boats .	59
unhinge	1	7	CAIRO -- Hundreds of thousands of protesters swelled through villages and cities Sunday , denouncing Egypt 's Islamist president and raising fears of a new revolution that could divide the nation , threaten its young democracy and unhinge its already-troubled economy .	37
non-fast-food	0	0	Participants were designated `` Western diet '' consumers if their consumption from non-fast-food sources was relatively high in saturated fats and added sugars .	12
question	0	0	NEW YORK -- It has been a big year for bears in the news , especially in Maine , where voters on Nov. 4 face a question that has bedeviled other bear-heavy states : how to keep the species ' population at bay in the face of pressure from animal rights groups lobbying to ban certain hunting methods .	26
workweek	1	6	Extending their protests into the workweek , Hong Kong democracy activists continued occupying major thoroughfares Monday , forcing the closure of some schools , banks and other businesses in the semi-autonomous Chinese territory .	5
Keep	0	0	`` Keep going , son ! ''	1
R-Florida	0	0	Ryan won 236 votes Thursday , while Rep. Daniel Webster -LRB- R-Florida -RRB- , who won a following among staunch conservatives for his procedural reform agenda , received nine votes .	11
replica	1	7	Since most modern humans will never get to see the masterpieces in what is widely known as the Chauvet Cave , scientists , artists and the French government have spent 56 million euros -LRB- about $ 60 million -RRB- and several years creating the next best thing : a near-exact replica of the cave about 2 kilometers -LRB- 1.2 miles -RRB- away , including more than 400 paintings of horses , bears , rhinoceros and mammoths , handprints and carvings .	50
fatal	0	0	The infection is almost universally fatal : it kills more than 97 percent of its victims within days .	5
Still	0	0	Still , she did n't want to break the law .	0
murmurs	1	8	The murmurs from onlookers -- `` nice '' and `` wow '' -- swell after each dazzling play .	1
swelled	1	6	CAIRO -- Hundreds of thousands of protesters swelled through villages and cities Sunday , denouncing Egypt 's Islamist president and raising fears of a new revolution that could divide the nation , threaten its young democracy and unhinge its already-troubled economy .	7
non-threatened	0	0	Environmental and fishery groups say agriculture is manipulating the drought crisis to extract delta water , exposing even non-threatened fish and the fishing industry to catastrophic losses .	18
woefully	1	8	The mayor 's decision to home in on one of Chicago 's most intractable problems meant he made only passing reference to another : crumbling finances that have left the city 's credit rated as `` junk '' and its pension funds woefully unfunded .	42
southern	0	0	ARIVACA , Ariz. -- There was a time when Maggie Milinovitch and her husband did n't agree on whether to give food and water to the weary border crossers who traversed the couple 's desert land a few miles north of the Mexico border in southern Arizona .	45
prayer	0	0	They said a prayer .	3
Manager	0	0	`` The more we looked at the data , the more we realized the situation is bleak , '' Willits City Manager Adrienne Moore said .	21
cases	0	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .	22
stimulants	1	5	On another day , the same volunteers swigged a `` placebo '' energy drink that had the same taste , texture and nutrients as Rockstar but none of the caffeine , taurine or other stimulants .	34
rationing	1	9	It was time to adopt the toughest rationing measures they could .	7
remarkable	0	0	But it is Vawter 's ability to control the prosthetic with his thoughts that makes the latest case remarkable .	18
dam	0	0	After beavers move to a new area , at night , they drag a tree across a shallow stream to start a dam .	22
battles	0	0	Voters in two Western states are caught in fierce battles over whether consumers will know what is deep inside their food .	9
airplanes	0	0	That 's when she first began fantasizing about piloting airplanes .	9
seek	0	0	In addition , the U.S. will seek to strengthen global enforcement and international cooperation to fight an illicit trade estimated to total about $ 10 billion per year .	6
spend	0	0	An Associated Press analysis of households in the 10 biggest economies shows that families continue to spend cautiously and have pulled hundreds of billions of dollars out of stocks , cut borrowing for the first time in decades and poured money into savings and bonds that offer puny interest payments , often too low to keep up with inflation .	16
interactions	1	8	Obama is also proposing a three-year , $ 263 million spending package to expand training and increase the use of body-worn cameras for monitoring police interactions with the public .	25
acquitted	1	9	SANFORD , Fla. -- In a case that touched off a national debate on race and guns , George Zimmerman was acquitted of all charges in the shooting of Trayvon Martin , an unarmed black teenager killed during a confrontation on a rainy night in Florida last year .	21
red-legged	0	0	They also help the endangered California red-legged frog .	6
populations	1	4	A new study on snakebite rates in Costa Rica has found that the bite rate shoots up during El Nino -- at both the hot and cold parts of the cycle -- and that the problem disproportionately affects poor , rural populations .	41
populous	1	7	KADUNA , Nigeria -- In a historic moment for Africa 's most populous country , former dictator Muhammadu Buhari won Nigeria 's presidency , the first time in 16 years of democracy that an opposition candidate has defeated a sitting president .	12
chairs	0	0	They are sitting on ergonomic swivel chairs in front of computer screens and tapping away at keyboards and mouses as they try to kill rival factions on the military sci-fi strategy game StarCraft .	6
disapproval	1	4	He kept playing in defiance of his family 's disapproval , with clandestine jam sessions his only outlet until the day he was selected for a monthlong U.S. cultural program that would allow him to perform in California , New Mexico and other states he 'd heard about only in movies .	9
indict	1	5	The results of the review come a week after a grand jury in St. Louis County chose not to indict the Ferguson police officer , Darren Wilson , in the fatal shooting of Michael Brown .	19
predators	1	4	The removal of top predators has been called `` humankind 's most pervasive influence on nature , '' and it is as detrimental in the sea as it is on land .	4
tapping	0	0	They are sitting on ergonomic swivel chairs in front of computer screens and tapping away at keyboards and mouses as they try to kill rival factions on the military sci-fi strategy game StarCraft .	13
fine	0	0	The fine will be donated to organizations dedicated to anti-discrimination and tolerance efforts that will be jointly selected by the NBA and the Players Association , Silver said .	1
termed	1	3	The 2015 seaweed invasion appears to be a bumper crop , with a number of shorelines so severely hit that some tourists have canceled summer trips and lawmakers on Tobago have termed it a `` natural disaster . ''	31
coral	0	0	Just down the road from the world 's tallest tower , in the shadow of monster sand dunes , marine biologists from around the world clamored onboard a boat for a visit to some of the Persian Gulf 's coral reefs .	39
Slavery	0	0	Slavery was a `` side issue to the Civil War , '' said Pat Hardy , a Republican board member , when the board adopted the standards in 2010 .	0
yards	0	0	The scientists were initially skeptical about what they would find on the construction site near the new Sprouts Farmers Market less than 100 yards from busy Matlock Road .	23
says	0	0	OROSI , Calif. -- Emilio Isazaga says he hopes education will get himself and his family `` out of the struggle . ''	6
outskirts	1	7	Whether a child should be shooting any sort of gun is a decision for each family to make , said Butch Jensen , an instructor for 10 years at Southeast Regional Park Shooting Range on the outskirts of Tucson .	36
beach	0	0	Amid the clatter of jackhammers and the whine of a mini-excavator , paleontologist Kim Scott scouted the tarry muck for relics from a long-buried beach .	24
islands	0	0	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .	23
beneficial	1	9	Eating them is associated with all sorts of beneficial health outcomes .	8
quo	1	6	The awkward kickoff for a series of official meetings in Beijing followed Biden 's speech earlier Wednesday urging young Chinese citizens to challenge orthodoxy and the status quo .	27
superhero	0	0	`` We 're taking the Iron Man concept and bringing it closer to reality , '' said Dowling , referring to the Marvel Comics character Tony Stark , an industrialist and master engineer who builds a rocket-powered exoskeleton , turning himself into a superhero .	43
street-lamp	0	0	LOS ANGELES -- Seventy feet below Wilshire Boulevard , catercorner from the Los Angeles County Museum of Art 's street-lamp installation , fresh air roaring from giant ventilation pipes dulled the sickly sweet smell of petroleum .	19
Fish	0	0	Fish ear bones , also known as otoliths , are like tree rings for the ocean .	0
widely	0	0	Since most modern humans will never get to see the masterpieces in what is widely known as the Chauvet Cave , scientists , artists and the French government have spent 56 million euros -LRB- about $ 60 million -RRB- and several years creating the next best thing : a near-exact replica of the cave about 2 kilometers -LRB- 1.2 miles -RRB- away , including more than 400 paintings of horses , bears , rhinoceros and mammoths , handprints and carvings .	14
moved	0	0	Virginia was one of many states that moved to offer more personal-finance courses on the heels of the Great Recession , hoping to instill practical money-management skills to help the next generation avoid the pitfalls that many of their parents experienced .	7
car	0	0	For the roughly 1 million Americans who have lost a leg or part of one due to injury or disease , Vawter and his robotic leg offer the hope that future prosthetics might return the feel of a natural gait , kicking a soccer ball or climbing into a car without hoisting an inert artificial limb into the vehicle .	49
looters	1	6	Violence spread in central Durban on Tuesday , after looters attacked shops owned by immigrants , some of whom armed themselves with machetes and knives .	9
threatening	1	4	They 're endangering shorebirds , threatening city taps and quite possibly raising the crime rate .	5
screeches	1	7	She could hear them scrabbling around and their ominous screeches .	9
sunny	0	0	But if monotonously sunny weather continues to curse the state , the pain of water shortages will spread , albeit unevenly .	3
co-founder	0	0	`` It 's a major step for them , '' said Dan Sarto , co-founder and publisher of Animation World Network .	14
Rodrigo	0	0	Even as the children 's `` Bring Rodrigo Home '' campaign built momentum , it became clear that things would not move fast .	7
develop	1	5	That universal truth is something that children seem to understand almost intuitively at a young age , but the path through which they develop a sense of what 's fair and what is n't -- and how they act on injustices -- is something that has been a puzzle for social scientists .	23
notorious	1	8	Copeland , 32 , has become one of America 's most famous female athletes , revered for her unlikely ascendance in an arts world notorious for showcasing only lithe white ballerinas .	24
agencies	0	0	There were too many agencies and politicians with rules that did n't seem to share their urgency .	4
motors	0	0	Eight 2.3-ton electric motors installed on 1 WTC 's roof power the high-speed elevators .	3
still-valuable	1	3	Fortunately for bargain hunters , there are also plenty of consumers who want the latest and greatest technology , requiring them to get rid of a still-valuable model from a year or two ago .	26
machines	0	0	The world will see just how far robots have advanced in the subsequent years when the U.S. Defense Advanced Research Projects Agency -LRB- DARPA -RRB- hosts the final round of a robotics competition aimed at building autonomous machines that can step -- or roll -- in when disasters strike .	37
proliferate	0	0	And as the number of `` buddy '' or `` inclusion companion '' sporting opportunities continues to proliferate across the country , advocates for children with special needs say young people today are growing up with a better understanding and openness toward people with disabilities than the generations before them .	17
trips	0	0	The 2015 seaweed invasion appears to be a bumper crop , with a number of shorelines so severely hit that some tourists have canceled summer trips and lawmakers on Tobago have termed it a `` natural disaster . ''	25
commitments	1	7	Committing on Twitter to a school is also discouraged -- one recent former player tweeted commitments to four different schools without informing any coaches .	15
hang	0	0	Years later , Borders still is collecting bones and curiosities , only now they are his canvas for intricate designs and hang in galleries where they sell for hundreds and thousands of dollars each .	21
encourage	1	3	Rather than prevent violence , Holder said , such laws can encourage it .	11
laptop	0	0	`` We do n't have any Internet at home , '' Morua said as her oldest , 11-year-old Abel , clicked through an assignment on a library laptop while Alina , 9 , waited for her turn at a desktop .	27
submarine	1	6	Another sailed silently beneath the seas in a submarine during the Cold War .	8
comet	0	0	The European Space Agency -LRB- ESA -RRB- says it has succeeded in landing a spacecraft on a comet for the first time .	17
average	0	0	Castañeda does n't choose participants based on grade-point average .	8
eastern	0	0	WASHINGTON -- Army Capt. Brian Dowling was leading his Special Forces team through a steep mountain pass in eastern Afghanistan when insurgents ambushed his patrol , leaving two of his soldiers pinned down with life-threatening wounds .	18
carry	0	0	In about a week , winds carry ozone formed by emissions from cars , factories and power plants in Asia to the U.S. West Coast , where it can add to locally generated pollution , worsening smog in cities such as Bakersfield , Fresno and Los Angeles .	6
urgency	0	0	There were too many agencies and politicians with rules that did n't seem to share their urgency .	16
bite	0	0	Climate change might have a nasty bite .	6
code-named	0	0	Thank you for still being here on June 6 , 2014 , '' Hollande told veterans and dignitaries on Sword Beach , one of five code-named beaches taken by the Allies 70 years ago .	25
prime	0	0	Hours earlier , Egypt 's new interim leadership had narrowed in on a compromise candidate to serve as the next prime minister .	20
searches	0	0	So Shubham did , and with a few Internet searches he learned about Braille , the tactile writing system used by the blind , and Braille printers , which , to the 12-year-old 's shock , cost thousands of dollars .	9
complaint	1	6	CHICAGO -- For years a general complaint about dolls has been that they send the wrong messages to children , whether it 's promoting an unrealistic body image or reinforcing stereotypes about girly interests .	6
however	0	0	An editorial in the state media China Daily charged , however , that Washington `` is turning a blind eye to Tokyo 's provocations , '' calling that the `` root cause of the tensions . ''	10
colony	1	6	Nora Prentice , who lives on Manhattan 's Upper West Side , has repeatedly complained to the city about a colony of about 200 rats in a neighborhood park .	20
saturated	0	0	Participants were designated `` Western diet '' consumers if their consumption from non-fast-food sources was relatively high in saturated fats and added sugars .	18
bolster	1	8	Along with thousands of other former members of the military , they 're part of an effort to bolster America 's teaching corps with worldly veterans whose leadership skills and life experiences could be valuable in the classroom .	18
succulent	1	8	An apple can kill , a sprinkle of sprouts can send you to the hospital and your succulent , pan-seared red snapper may actually be tilefish .	17
pointed	0	0	`` When a lot of cameras are going to be pointed on the city , they want to have an image of the city that does not include poverty , '' said Jennifer Friedenbach , executive director at the San Francisco-based Coalition on Homelessness .	10
hugs	0	0	Then the defendant 's side of the courtroom exploded in hugs .	10
surrounding	1	3	A layer of calcium carbonate laid down each year offers a snapshot of both the fish 's yearly growth and its surrounding ocean conditions .	21
traveled	0	0	In an effort to understand how much of this concept is hard-wired into our biology and how much of it is cultural , a team of psychologists and anthropologists led by Harvard University professor Felix Warneken traveled to seven countries to study how different groups of children play fair .	36
relations	0	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S.-China relations must hinge on trust and a positive notion of each other 's motives .	17
built-in	0	0	Now employed by a small defense company , he is part of a crash effort by U.S. Special Operations Command to produce a radically new protective suit for elite soldiers to wear into battle -- one with bionic limbs , head-to-toe armor , a built-in power supply and live data feeds projected on a see-through display inside the helmet .	44
measure	0	0	Rather , they know they briefly existed because they are able to measure their decay products .	12
smoked	0	0	BEIJING -- Nearly every day in China , women go to work in smoke-filled offices , exposed to the fumes of cigarettes smoked mainly by male colleagues .	22
coalition	1	6	The coalition fighting against labeling has also included large grocery chains and some farmers , and some of the labeling advocates are sizable companies in their own right .	1
Thank	0	0	`` Thank you for having been here in the summer of ' 44 .	1
gifts	0	0	The bags were gifts for family and friends in China , where Coach goods sell for two to three times the price in the U.S. `` It 's a smart move , '' he said of his purchases .	3
bound	1	5	The recommendations are bound to prompt eye-rolling and LOLs from many teens but an influential pediatricians group says parents need to know that unrestricted media use can have serious consequences .	3
host	0	0	It 's been linked with violence , cyberbullying , school woes , obesity , lack of sleep and a host of other problems .	19
rife	1	6	Women 's basketball is gaining in popularity in a kingdom rife with public restrictions on female movement and activity .	10
estate	0	0	But a housing crash and a flood of Chinese money later , she 's part of a growing cottage industry of real estate agents , bankers and attorneys who specialize in helping wealthy foreigners buy a little patch of Southern California .	22
convenient	1	8	`` It 's very convenient , and that 's what we 're hearing from our guests , '' said Cathy Valeriano , SeaWorld 's vice president of culinary operations .	4
persuade	1	4	That issue will dominate much of Emanuel 's time in the coming weeks , as he works to persuade state lawmakers in Springfield to grant the city pension relief and a Chicago-owned casino to help stabilize the city 's finances .	18
meet	0	0	But she pledged to create `` a grand pact '' to improve public services and said among her priorities would be to devote 100 percent of petroleum revenue to education , send thousands of doctors to rural areas , come up with a national urban transit plan , and meet with peaceful protest leaders .	49
spiders	0	0	`` Spider-Man '' and `` Star Wars '' stamps vastly outsell those commemorating the Civil War , insects and spiders , and Pacific Coast lighthouses .	19
onerous	1	9	A year with a dry winter can devastate crop output and put an onerous dent in a farmer 's wallet .	13
seemed	0	0	That Rodrigo Guzman , 10 , could no longer be with his friends and attend Jefferson Elementary seemed so obviously unfair to these students .	17
nowhere	0	0	Tennis balls are nowhere in sight .	3
knows	0	0	But Germany , another major creditor to Greece , is resisting , even though it knows better than most what debt relief can achieve .	15
center	0	0	So Yan , a widow since her husband 's death nearly a decade ago , spends every weekday at a modest community center near her home , where she plays mahjong and eats meals prepared by a volunteer staff .	22
